Continental_region,Country,Sum_of_No_of_Internet_Plans
Africa,Algeria,20
,Angola,20
,Benin,37
,Botswana,30
,Burkina_Faso,31
,Burundi,54
,Cabo_Verde,24
,Cameroon,44
,Central_African_Republic,13
,Chad,15
,Comoros,25
,Congo,8
,Côte_d'Ivoire,29
,Djibouti,7
,Egypt,40
,Equatorial_Guinea,4
,Eswatini,9
,Ethiopia,3
,Gabon,52
,Gambia,31
,Ghana,34
,Guinea,19
,GuineaBissau,9
,Kenya,50
,Lesotho,27
,Liberia,40
,Libya,16
,Madagascar,36
,Malawi,5
,Mali,42
,Mauritania,13
,Mauritius,18
,Mayotte,16
,Morocco,24
,Mozambique,19
,Niger,22
,Nigeria,60
,Réunion,11
,Rwanda,47
,Saint_Helena_Ascension_and_Tristan_da_Cunha,4
,São_Tomé_and_Príncipe,16
,Senegal,35
,Seychelles,21
,Sierra_Leone,21
,Somalia,27
,South_Africa,60
,Sudan,33
,Tanzania,60
,Togo,18
,Tunisia,25
,Uganda,60
,Western_Sahara,25
,Zambia,60
Africa Total,,1469
Asia,Afghanistan,35
,Armenia,21
,Azerbaijan,42
,Bahrain,24
,Bangladesh,60
,Bhutan,42
,British_Indian_Ocean_Territory,3
,Brunei,9
,Cambodia,23
,China,36
,Cyprus,22
,East_Timor,15
,Hong_Kong_China,52
,India,58
,Indonesia,53
,Iran,52
,Iraq,33
,Israel,27
,Japan,35
,Jordan,42
,Kazakhstan,19
,Kuwait,42
,Kyrgyzstan,20
,Laos,25
,Lebanon,30
,Macau,19
,Malaysia,60
,Maldives,23
,Mongolia,42
,Myanmar,35
,Nepal,35
,Oman,60
,Pakistan,60
,Palestine,17
,Philippines,30
,Qatar,9
,Russia,22
,Saudi_Arabia,60
,Singapore,35
,South_Korea,18
,Sri_Lanka,60
,Syria,14
,Taiwan,42
,Tajikistan,22
,Thailand,60
,Turkey,60
,Turkmenistan,4
,United_Arab_Emirates,51
,Uzbekistan,60
,Vietnam,46
,Yemen,17
Asia Total,,1781
Europe,Åland_Islands,7
,Albania,32
,Andorra,7
,Austria,60
,Belarus,14
,Belgium,37
,Bosnia_and_Herzegovina,24
,Bulgaria,21
,Croatia,26
,Czech_Republic,34
,Denmark,34
,Estonia,34
,Faroe_Islands,11
,Finland,18
,France,45
,Georgia,20
,Germany,60
,Gibraltar,5
,Greece,22
,Guernsey,14
,Hungary,21
,Iceland,20
,Ireland,12
,Isle_of_Man,14
,Italy,29
,Jersey,18
,Latvia,22
,Liechtenstein,17
,Lithuania,23
,Luxembourg,20
,Malta,27
,Moldova,18
,Monaco,3
,Montenegro,21
,North_Macedonia,18
,Norway,21
,Poland,60
,Portugal,21
,Romania,16
,San_Marino,2
,Serbia,38
,Slovakia,45
,Slovenia,28
,Spain,44
,Svalbard_and_Jan_Mayen,13
,Sweden,58
,Switzerland,14
,The_Netherlands,24
,Ukraine,19
,United_Kingdom,60
Europe Total,,1271
North_America,Anguilla,13
,Antigua_and_Barbuda,39
,Aruba_(Netherlands),34
,Bahamas,17
,Barbados,11
,Belize,27
,Bermuda,21
,Canada,60
,Cayman_Islands,17
,Costa_Rica,15
,Cuba,9
,Curaçao,17
,Dominica,17
,Dominican_Republic,22
,El_Salvador,25
,Greenland,3
,Grenada,13
,Guadeloupe,9
,Guatemala,24
,Haiti,13
,Honduras,22
,Jamaica,11
,Martinique,18
,Mexico,45
,Montserrat,12
,Nicaragua,30
,North_America_Netherlands,13
,Panama,8
,Puerto_Rico_(U.S.),19
,Saint_Barthélemy_(St._Barts),17
,Saint_Kitts_and_Nevis,16
,Saint_Lucia,14
,Saint_Vincent_and_the_Grenadines,13
,SaintMartin_(France),40
,Sint_Maarten,21
,Trinidad_and_Tobago,12
,Turks_and_Caicos_Islands,15
,U.S._Virgin_Islands,11
,United_States,45
,Virgin_Islands_(British),32
North_America Total,,820
Oceania,American_Samoa,11
,Australia,46
,Cocos_(Keeling)_Islands,2
,Cook_Islands,9
,Fiji,18
,French_Polynesia,30
,Guam,23
,Kiribati,28
,Micronesia,7
,Nauru,1
,New_Caledonia,14
,New_Zealand,36
,Niue,10
,Northern_Mariana_Islands,18
,Palau,6
,Papua_New_Guinea,18
,Samoa,42
,Solomon_Islands,22
,Tokelau,6
,Tonga,2
,Tuvalu,9
,Vanuatu,23
Oceania Total,,381
South_America,Argentina,28
,Bolivia,48
,Brazil,58
,Chile,59
,Colombia,60
,Ecuador,19
,Falkland_Islands,4
,French_Guiana,9
,Guyana,17
,Paraguay,27
,Peru,49
,Suriname,12
,Uruguay,35
South_America Total,,425
Grand Total,,6147
