Continental region,Country,Label,Values
Africa,Algeria,Cheapest,0.16
Africa,Algeria,Expensive,2.24
Africa,Angola,Cheapest,1.03
Africa,Angola,Expensive,3.21
Africa,Benin,Cheapest,0.45
Africa,Benin,Expensive,60.21
Africa,Botswana,Cheapest,1.63
Africa,Botswana,Expensive,36.23
Africa,Burkina Faso,Cheapest,2.35
Africa,Burkina Faso,Expensive,18.06
Africa,Burundi,Cheapest,0.09
Africa,Burundi,Expensive,5.12
Africa,Cabo Verde,Cheapest,1.07
Africa,Cabo Verde,Expensive,48.35
Africa,Cameroon,Cheapest,0.6
Africa,Cameroon,Expensive,7.22
Africa,Central African Republic,Cheapest,3.01
Africa,Central African Republic,Expensive,60.21
Africa,Chad,Cheapest,2.21
Africa,Chad,Expensive,45.16
Africa,Comoros,Cheapest,0.6
Africa,Comoros,Expensive,96.41
Africa,Congo,Cheapest,1
Africa,Congo,Expensive,7.64
Africa,Côte d'Ivoire,Cheapest,1.17
Africa,Côte d'Ivoire,Expensive,18.06
Africa,Djibouti,Cheapest,0.47
Africa,Djibouti,Expensive,28.01
Africa,Egypt,Cheapest,0.02
Africa,Egypt,Expensive,2.38
Africa,Equatorial Guinea,Cheapest,45.16
Africa,Equatorial Guinea,Expensive,63.22
Africa,Eswatini,Cheapest,0.69
Africa,Eswatini,Expensive,2.8
Africa,Ethiopia,Cheapest,1.41
Africa,Ethiopia,Expensive,4.17
Africa,Gabon,Cheapest,1.06
Africa,Gabon,Expensive,18.06
Africa,Gambia,Cheapest,2.37
Africa,Gambia,Expensive,97.71
Africa,Ghana,Cheapest,0.17
Africa,Ghana,Expensive,3.47
Africa,Guinea,Cheapest,0.79
Africa,Guinea,Expensive,4.96
Africa,GuineaBissau,Cheapest,2.25
Africa,GuineaBissau,Expensive,36.12
Africa,Kenya,Cheapest,0.26
Africa,Kenya,Expensive,10.93
Africa,Lesotho,Cheapest,1.29
Africa,Lesotho,Expensive,9.02
Africa,Liberia,Cheapest,1.55
Africa,Liberia,Expensive,20
Africa,Libya,Cheapest,0
Africa,Libya,Expensive,2.22
Africa,Madagascar,Cheapest,0.66
Africa,Madagascar,Expensive,50.09
Africa,Malawi,Cheapest,20.37
Africa,Malawi,Expensive,25.46
Africa,Mali,Cheapest,1.2
Africa,Mali,Expensive,169.79
Africa,Mauritania,Cheapest,2.78
Africa,Mauritania,Expensive,13.91
Africa,Mauritius,Cheapest,0.04
Africa,Mauritius,Expensive,6.49
Africa,Mayotte,Cheapest,0.25
Africa,Mayotte,Expensive,6.8
Africa,Morocco,Cheapest,0.44
Africa,Morocco,Expensive,5.5
Africa,Mozambique,Cheapest,0.19
Africa,Mozambique,Expensive,6.98
Africa,Niger,Cheapest,0.47
Africa,Niger,Expensive,12.04
Africa,Nigeria,Cheapest,0.03
Africa,Nigeria,Expensive,5.25
Africa,Réunion,Cheapest,0.24
Africa,Réunion,Expensive,118.2
Africa,Rwanda,Cheapest,0.35
Africa,Rwanda,Expensive,23.1
Africa,Saint Helena Ascension and Tristan da Cunha,Cheapest,38.57
Africa,Saint Helena Ascension and Tristan da Cunha,Expensive,51.42
Africa,São Tomé and Príncipe,Cheapest,13.27
Africa,São Tomé and Príncipe,Expensive,121.65
Africa,Senegal,Cheapest,0.3
Africa,Senegal,Expensive,6.02
Africa,Seychelles,Cheapest,2.36
Africa,Seychelles,Expensive,22.67
Africa,Sierra Leone,Cheapest,2.17
Africa,Sierra Leone,Expensive,4.4
Africa,Somalia,Cheapest,0.18
Africa,Somalia,Expensive,6.67
Africa,South Africa,Cheapest,0.12
Africa,South Africa,Expensive,34.95
Africa,Sudan,Cheapest,0.03
Africa,Sudan,Expensive,0.92
Africa,Tanzania,Cheapest,0.28
Africa,Tanzania,Expensive,4.31
Africa,Togo,Cheapest,2.03
Africa,Togo,Expensive,40.64
Africa,Tunisia,Cheapest,0.33
