Continental region,Country,Year,Price
Africa,Algeria,2020,5.15
Africa,Algeria,2021,0.65
Africa,Algeria,2022,0.51
Africa,Angola,2020,7.95
Africa,Angola,2021,5.29
Africa,Angola,2022,1.61
Africa,Benin,2020,20.99
Africa,Benin,2021,27.22
Africa,Benin,2022,3.61
Africa,Botswana,2020,16.79
Africa,Botswana,2021,13.87
Africa,Botswana,2022,3.92
Africa,Burkina Faso,2020,10.26
Africa,Burkina Faso,2021,2.47
Africa,Burkina Faso,2022,4.52
Africa,Burundi,2020,18.79
Africa,Burundi,2021,2.12
Africa,Burundi,2022,2.1
Africa,Cabo Verde,2020,4.25
Africa,Cabo Verde,2021,4.81
Africa,Cabo Verde,2022,4.78
Africa,Cameroon,2020,1.71
Africa,Cameroon,2021,2.75
Africa,Cameroon,2022,0.9
Africa,Central African Republic,2020,6.03
Africa,Central African Republic,2021,8.25
Africa,Central African Republic,2022,9.03
Africa,Chad,2020,23.33
Africa,Chad,2021,23.33
Africa,Chad,2022,23.33
Africa,Comoros,2020,5.27
Africa,Comoros,2021,4.38
Africa,Comoros,2022,3.21
Africa,Congo,2020,4.57
Africa,Congo,2021,1.94
Africa,Congo,2022,2.88
Africa,Côte d'Ivoire,2020,6.18
Africa,Côte d'Ivoire,2021,3.2
Africa,Côte d'Ivoire,2022,2.58
Africa,Djibouti,2020,37.92
Africa,Djibouti,2021,1.12
Africa,Djibouti,2022,1.12
Africa,Egypt,2020,1.49
Africa,Egypt,2021,1.09
Africa,Egypt,2022,1.04
Africa,Equatorial Guinea,2020,47.39
Africa,Equatorial Guinea,2021,12.78
Africa,Equatorial Guinea,2022,49.67
Africa,Eswatini,2020,5.25
Africa,Eswatini,2021,13.31
Africa,Eswatini,2022,2.24
Africa,Ethiopia,2020,2.06
Africa,Ethiopia,2021,2.44
Africa,Ethiopia,2022,1.71
Africa,Gabon,2020,3.39
Africa,Gabon,2021,4.89
Africa,Gabon,2022,4.82
Africa,Gambia,2020,6.89
Africa,Gambia,2021,5.1
Africa,Gambia,2022,5.86
Africa,Ghana,2020,1.56
Africa,Ghana,2021,0.94
Africa,Ghana,2022,0.66
Africa,Guinea,2020,4.53
Africa,Guinea,2021,2.08
Africa,Guinea,2022,1.99
Africa,GuineaBissau,2020,11.71
Africa,GuineaBissau,2021,4.12
Africa,GuineaBissau,2022,4.41
Africa,Kenya,2020,2.73
Africa,Kenya,2021,1.05
Africa,Kenya,2022,2.25
Africa,Lesotho,2020,7.19
Africa,Lesotho,2021,2.13
Africa,Lesotho,2022,2.66
Africa,Liberia,2020,3.75
Africa,Liberia,2021,3.25
Africa,Liberia,2022,2.59
Africa,Libya,2020,4.87
Africa,Libya,2021,4.73
Africa,Libya,2022,0.74
Africa,Madagascar,2020,7.24
Africa,Madagascar,2021,8.81
Africa,Madagascar,2022,5.14
Africa,Malawi,2020,3.59
Africa,Malawi,2021,27.41
Africa,Malawi,2022,25.46
Africa,Mali,2020,12.37
Africa,Mali,2021,4.12
Africa,Mali,2022,3.28
Africa,Mauritania,2020,9.49
Africa,Mauritania,2021,4.63
Africa,Mauritania,2022,5.56
Africa,Mauritius,2020,0.51
Africa,Mauritius,2021,2.48
Africa,Mauritius,2022,0.75
Africa,Mayotte,2020,2.22
Africa,Mayotte,2021,1.08
Africa,Mayotte,2022,0.82
Africa,Morocco,2020,1.66
Africa,Morocco,2021,0.99
Africa,Morocco,2022,0.88
Africa,Mozambique,2020,12.82
Africa,Mozambique,2021,3.33
Africa,Mozambique,2022,2.79
Africa,Niger,2020,25.52
Africa,Niger,2021,3.3
Africa,Niger,2022,1.28
Africa,Nigeria,2020,7.91
Africa,Nigeria,2021,1.39
Africa,Nigeria,2022,0.88
Africa,Réunion,2020,1.65
Africa,Réunion,2021,0.72
Africa,Réunion,2022,0.76
Africa,Rwanda,2020,3.79
Africa,Rwanda,2021,1.48
Africa,Rwanda,2022,1.25
Africa,Saint Helena Ascension and Tristan da Cunha,2020,6.04
Africa,Saint Helena Ascension and Tristan da Cunha,2021,52.5
Africa,Saint Helena Ascension and Tristan da Cunha,2022,39.87
Africa,São Tomé and Príncipe,2020,5.33
Africa,São Tomé and Príncipe,2021,28.26
Africa,São Tomé and Príncipe,2022,30.97
Africa,Senegal,2020,3.28
Africa,Senegal,2021,3.3
Africa,Senegal,2022,0.94
Africa,Seychelles,2020,19.55
Africa,Seychelles,2021,11.43
Africa,Seychelles,2022,8.64
Africa,Sierra Leone,2020,9.22
Africa,Sierra Leone,2021,3.69
Africa,Sierra Leone,2022,3.26
Africa,Somalia,2020,6.19
Africa,Somalia,2021,0.5
Africa,Somalia,2022,0.6
Africa,South Africa,2020,7.77
Africa,South Africa,2021,4.3
Africa,South Africa,2022,2.67
Africa,Sudan,2020,0.68
Africa,Sudan,2021,0.63
Africa,Sudan,2022,0.27
Africa,Tanzania,2020,3.71
Africa,Tanzania,2021,0.73
Africa,Tanzania,2022,0.75
Africa,Togo,2020,15.12
Africa,Togo,2021,4.5
Africa,Togo,2022,4.69
Africa,Tunisia,2020,3.67
Africa,Tunisia,2021,1.37
Africa,Tunisia,2022,1.09
Africa,Uganda,2020,5.02
Africa,Uganda,2021,1.62
Africa,Uganda,2022,1.56
Africa,Western Sahara,2020,1.18
Africa,Western Sahara,2021,0.99
Africa,Western Sahara,2022,0.88
Africa,Zambia,2020,2.25
Africa,Zambia,2021,1.36
Africa,Zambia,2022,1.13
Asia,Afghanistan,2020,1.6
Asia,Afghanistan,2021,1.55
Asia,Afghanistan,2022,1.02
Asia,Armenia,2020,2.51
Asia,Armenia,2021,1.05
Asia,Armenia,2022,0.76
Asia,Azerbaijan,2020,6.42
Asia,Azerbaijan,2021,1.86
Asia,Azerbaijan,2022,1.82
Asia,Bahrain,2020,2
Asia,Bahrain,2021,2.27
Asia,Bahrain,2022,2.12
Asia,Bangladesh,2020,0.99
Asia,Bangladesh,2021,0.7
Asia,Bangladesh,2022,0.34
Asia,Bhutan,2020,1.49
Asia,Bhutan,2021,1.16
Asia,Bhutan,2022,0.83
Asia,British Indian Ocean Territory,2020,9.31
Asia,British Indian Ocean Territory,2021,7.5
Asia,British Indian Ocean Territory,2022,7.5
Asia,Brunei,2020,8.51
Asia,Brunei,2021,2.64
Asia,Brunei,2022,2.23
Asia,Cambodia,2020,10.18
Asia,Cambodia,2021,1.5
Asia,Cambodia,2022,0.83
Asia,China,2020,9.89
Asia,China,2021,0.61
Asia,China,2022,0.52
Asia,Cyprus,2020,20.25
Asia,Cyprus,2021,13.56
Asia,Cyprus,2022,8.84
Asia,East Timor,2020,4.48
Asia,East Timor,2021,2.08
Asia,East Timor,2022,1.67
Asia,Hong Kong China,2020,7.15
Asia,Hong Kong China,2021,2.55
Asia,Hong Kong China,2022,2.3
Asia,India,2020,0.26
Asia,India,2021,0.09
Asia,India,2022,0.68
Asia,Indonesia,2020,2.99
Asia,Indonesia,2021,0.64
Asia,Indonesia,2022,0.42
Asia,Iran,2020,1.88
Asia,Iran,2021,0.75
Asia,Iran,2022,1.52
Asia,Iraq,2020,8
Asia,Iraq,2021,4.2
Asia,Iraq,2022,1.14
Asia,Israel,2020,0.9
Asia,Israel,2021,0.11
Asia,Israel,2022,0.05
Asia,Japan,2020,10.4
Asia,Japan,2021,3.91
Asia,Japan,2022,3.38
Asia,Jordan,2020,1.79
Asia,Jordan,2021,1.03
Asia,Jordan,2022,1.41
Asia,Kazakhstan,2020,0.49
Asia,Kazakhstan,2021,0.46
Asia,Kazakhstan,2022,0.59
Asia,Kuwait,2020,2.01
Asia,Kuwait,2021,0.77
Asia,Kuwait,2022,0.81
Asia,Kyrgyzstan,2020,0.27
Asia,Kyrgyzstan,2021,0.21
Asia,Kyrgyzstan,2022,0.15
Asia,Laos,2020,3.42
Asia,Laos,2021,4.16
Asia,Laos,2022,3.19
Asia,Lebanon,2020,11.68
Asia,Lebanon,2021,7.64
Asia,Lebanon,2022,9.62
Asia,Macau,2020,17.1
Asia,Macau,2021,2.89
Asia,Macau,2022,1.93
Asia,Malaysia,2020,1.66
Asia,Malaysia,2021,1.12
Asia,Malaysia,2022,0.89
Asia,Maldives,2020,5.79
Asia,Maldives,2021,3.88
Asia,Maldives,2022,3.24
Asia,Mongolia,2020,0.82
Asia,Mongolia,2021,0.74
Asia,Mongolia,2022,0.6
Asia,Myanmar,2020,0.87
Asia,Myanmar,2021,0.78
Asia,Myanmar,2022,0.78
Asia,Nepal,2020,2.25
Asia,Nepal,2021,0.86
Asia,Nepal,2022,0.61
Asia,Oman,2020,11.28
Asia,Oman,2021,4.58
Asia,Oman,2022,2.12
Asia,Pakistan,2020,1.85
Asia,Pakistan,2021,0.69
Asia,Pakistan,2022,0.59
Asia,Palestine,2020,6.56
Asia,Palestine,2021,3.26
Asia,Palestine,2022,1.71
Asia,Philippines,2020,3.16
Asia,Philippines,2021,1.42
Asia,Philippines,2022,1.77
Asia,Qatar,2020,12.57
Asia,Qatar,2021,4.12
Asia,Qatar,2022,3.2
Asia,Russia,2020,0.91
Asia,Russia,2021,0.52
Asia,Russia,2022,0.29
Asia,Saudi Arabia,2020,5.62
Asia,Saudi Arabia,2021,2.12
Asia,Saudi Arabia,2022,1.47
Asia,Singapore,2020,2.87
Asia,Singapore,2021,2.47
Asia,Singapore,2022,1.09
Asia,South Korea,2020,9.21
Asia,South Korea,2021,10.94
Asia,South Korea,2022,4.72
Asia,Sri Lanka,2020,0.78
Asia,Sri Lanka,2021,0.51
Asia,Sri Lanka,2022,0.38
Asia,Syria,2020,4.14
Asia,Syria,2021,6.55
Asia,Syria,2022,7.15
Asia,Taiwan,2020,12.02
Asia,Taiwan,2021,5.91
Asia,Taiwan,2022,5.67
Asia,Tajikistan,2020,4.1
Asia,Tajikistan,2021,4.65
Asia,Tajikistan,2022,2.6
Asia,Thailand,2020,2.78
Asia,Thailand,2021,1.23
Asia,Thailand,2022,1.06
Asia,Turkey,2020,2.25
Asia,Turkey,2021,0.72
Asia,Turkey,2022,0.63
Asia,Turkmenistan,2020,19.81
Asia,Turkmenistan,2021,11.44
Asia,Turkmenistan,2022,21.41
Asia,United Arab Emirates,2020,10.23
Asia,United Arab Emirates,2021,3.78
Asia,United Arab Emirates,2022,7.62
Asia,Uzbekistan,2020,3.27
Asia,Uzbekistan,2021,1.34
Asia,Uzbekistan,2022,0.6
Asia,Vietnam,2020,1.31
Asia,Vietnam,2021,0.57
Asia,Vietnam,2022,0.49
Asia,Yemen,2020,15.73
Asia,Yemen,2021,15.98
Asia,Yemen,2022,15.98
Europe,Åland Islands,2020,4.64
Europe,Åland Islands,2021,3.24
Europe,Åland Islands,2022,2.75
Europe,Albania,2020,5.28
Europe,Albania,2021,2.83
Europe,Albania,2022,2.8
Europe,Andorra,2020,12.58
Europe,Andorra,2021,9.54
Europe,Andorra,2022,7.49
Europe,Austria,2020,1.88
Europe,Austria,2021,1.08
Europe,Austria,2022,1.17
Europe,Belarus,2020,2.36
Europe,Belarus,2021,0.89
Europe,Belarus,2022,0.43
Europe,Belgium,2020,3.12
Europe,Belgium,2021,4.88
Europe,Belgium,2022,5.28
Europe,Bosnia and Herzegovina,2020,3.05
Europe,Bosnia and Herzegovina,2021,3.04
Europe,Bosnia and Herzegovina,2022,2.39
Europe,Bulgaria,2020,11.51
Europe,Bulgaria,2021,2.22
Europe,Bulgaria,2022,2.26
Europe,Croatia,2020,4
Europe,Croatia,2021,2.48
Europe,Croatia,2022,2.35
Europe,Czech Republic,2020,32.71
Europe,Czech Republic,2021,7.95
Europe,Czech Republic,2022,8.15
Europe,Denmark,2020,1.36
Europe,Denmark,2021,0.8
Europe,Denmark,2022,0.79
Europe,Estonia,2020,3.67
Europe,Estonia,2021,1.27
Europe,Estonia,2022,1.39
Europe,Faroe Islands,2020,9.78
Europe,Faroe Islands,2021,2.41
Europe,Faroe Islands,2022,2.64
Europe,Finland,2020,1.16
Europe,Finland,2021,2.14
Europe,Finland,2022,0.97
Europe,France,2020,1.21
Europe,France,2021,0.81
Europe,France,2022,0.41
Europe,Georgia,2020,5.63
Europe,Georgia,2021,0.93
Europe,Georgia,2022,1.8
Europe,Germany,2020,6.96
Europe,Germany,2021,4.06
Europe,Germany,2022,3.38
Europe,Gibraltar,2020,3.1
Europe,Gibraltar,2021,7.38
Europe,Gibraltar,2022,2.78
Europe,Greece,2020,4.91
Europe,Greece,2021,12.06
Europe,Greece,2022,8.16
Europe,Guernsey,2020,3.05
Europe,Guernsey,2021,1.24
Europe,Guernsey,2022,1.46
Europe,Hungary,2020,2.91
Europe,Hungary,2021,5.32
Europe,Hungary,2022,1.7
Europe,Iceland,2020,3.78
Europe,Iceland,2021,1.46
Europe,Iceland,2022,1.23
